lead_source,leads,conversion_rate,conversion_rate_pct
oursmartquotes.com.au,88016,0.03753862934011998,3.7538629340119978
Tedirex,31869,0.0028554394552700118,0.2855439455270012
Google Adwords,15084,0.029832935560859187,2.983293556085919
Data4U October,10050,0.00029850746268656717,0.029850746268656716
organic,4093,0.021255802589787442,2.125580258978744
Right Health Insurance,3303,0.025431425976385105,2.5431425976385107
Energy Deal Sales,1904,0.008928571428571428,0.8928571428571428
CHOOSE N SWITCH,1301,0.08608762490392007,8.608762490392007
SEO_HOMEPAGE_NEW,772,0.05310880829015544,5.310880829015544
comparingexpert.com.au,618,0.008090614886731391,0.8090614886731391
ED Consent leads to HD,449,0.004454342984409799,0.4454342984409799
hd_web_lead,425,0.018823529411764704,1.8823529411764703
